nace,description
3109,Manufacture of other furniture
3030,Manufacture of air and spacecraft and related machinery
3311,Repair of fabricated metal products
3313,Repair of electronic and optical equipment
3314,Repair of electrical equipment
2343,Manufacture of ceramic insulators and insulating fittings
3317,Repair and maintenance of other transport equipment
3319,Repair of other equipment
3320,Installation of industrial machinery and equipment
2733,Manufacture of wiring devices
3511,Production of electricity
2620,Manufacture of computers and peripheral equipment
3521,Manufacture of gas
3522,Distribution of gaseous fuels through mains
3523,Trade of gas through mains
3530,Steam and air conditioning supply
5821,Publishing of computer games
2611,Manufacture of electronic components
2630,Manufacture of communication equipment
3020,Manufacture of railway locomotives and rolling stock
3299,Other manufacturing n.e.c.
3240,Manufacture of games and toys
2640,Manufacture of consumer electronics
2670,Manufacture of optical instruments and photographic equipment
3040,Manufacture of military fighting vehicles
3211,Striking of coins
3091,Manufacture of motorcycles
3092,Manufacture of bicycles and invalid carriages
3099,Manufacture of other transport equipment n.e.c.
2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
3101,Manufacture of office and shop furniture
2320,Manufacture of refractory products
3212,Manufacture of jewellery and related articles
3213,Manufacture of imitation jewellery and related articles
3220,Manufacture of musical instruments
2652,Manufacture of watches and clocks
3230,Manufacture of sports goods
2651,"Manufacture of instruments and appliances for measuring, testing and navigation"
3312,Repair of machinery
3250,Manufacture of medical and dental instruments and supplies
3291,Manufacture of brooms and brushes
2030,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
2444,Copper production
4743,Retail sale of audio and video equipment in specialised stores
5320,Other postal and courier activities
2332,"Manufacture of bricks, tiles and construction products, in baked clay"
2331,Manufacture of ceramic tiles and flags
5510,Hotels and similar accommodation
7021,Public relations and communication activities
5520,Holiday and other short-stay accommodation
5530,"Camping grounds, recreational vehicle parks and trailer parks"
2319,"Manufacture and processing of other glass, including technical glassware"
5590,Other accommodation
2314,Manufacture of glass fibres
2229,Manufacture of other plastic products
5610,Restaurants and mobile food service activities
2223,Manufacture of builders’ ware of plastic
5621,Event catering activities
5629,Other food service activities
2222,Manufacture of plastic packing goods
2365,Manufacture of fibre cement
5310,Postal activities under universal service obligation
5630,Beverage serving activities
2341,Manufacture of ceramic household and ornamental articles
5229,Other transportation support activities
5020,Sea and coastal freight water transport
2361,Manufacture of concrete products for construction purposes
5030,Inland passenger water transport
5040,Inland freight water transport
2352,Manufacture of lime and plaster
2351,Manufacture of cement
5110,Passenger air transport
5121,Freight air transport
5122,Space transport
2349,Manufacture of other ceramic products
2344,Manufacture of other technical ceramic products
5221,Service activities incidental to land transportation
5222,Service activities incidental to water transportation
5223,Service activities incidental to air transportation
5224,Cargo handling
2342,Manufacture of ceramic sanitary fixtures
2362,Manufacture of plaster products for construction purposes
2221,"Manufacture of plastic plates, sheets, tubes and profiles"
2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
2060,Manufacture of man-made fibres
2752,Manufacture of non-electric domestic appliances
6130,Satellite telecommunications activities
2059,Manufacture of other chemical products n.e.c.
5829,Other software publishing
6190,Other telecommunications activities
2053,Manufacture of essential oils
2052,Manufacture of glues
6201,Computer programming activities
6202,Computer consultancy activities
6203,Computer facilities management activities
6209,Other information technology and computer service activities
2051,Manufacture of explosives
6311,"Data processing, hosting and related activities"
6312,Web portals
2042,Manufacture of perfumes and toilet preparations
6391,News agency activities
6399,Other information service activities n.e.c.
2312,Shaping and processing of flat glass
4772,Retail sale of footwear and leather goods in specialised stores
6110,Wired telecommunications activities
2219,Manufacture of other rubber products
9525,"Repair of watches, clocks and jewellery"
6010,Radio broadcasting
2120,Manufacture of pharmaceutical preparations
5811,Book publishing
5812,Publishing of directories and mailing lists
5813,Publishing of newspapers
5814,Publishing of journals and periodicals
5819,Other publishing activities
2313,Manufacture of hollow glass
5911,"Motion picture, video and television programme production activities"
5912,"Motion picture, video and television programme post-production activities"
5913,"Motion picture, video and television programme distribution activities"
5914,Motion picture projection activities
2311,Manufacture of flat glass
5920,Sound recording and music publishing activities
2110,Manufacture of basic pharmaceutical products
6020,Television programming and broadcasting activities
4641,Wholesale of textiles
5010,Sea and coastal passenger water transport
2364,Manufacture of mortars
4773,Dispensing chemist in specialised stores
4774,Retail sale of medical and orthopaedic goods in specialised stores
4673,"Wholesale of wood, construction materials and sanitary equipment"
3513,Distribution of electricity
4675,Wholesale of chemical products
4676,Wholesale of other intermediate products
4677,Wholesale of waste and scrap
4690,Non-specialised wholesale trade
2434,Cold drawing of wire
2433,Cold forming or folding
4711,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
4719,Other retail sale in non-specialised stores
2432,Cold rolling of narrow strip
4721,Retail sale of fruit and vegetables in specialised stores
4722,Retail sale of meat and meat products in specialised stores
4723,"Retail sale of fish, crustaceans and molluscs in specialised stores"
4724,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
4725,Retail sale of beverages in specialised stores
4726,Retail sale of tobacco products in specialised stores
4672,Wholesale of metals and metal ores
4729,Other retail sale of food in specialised stores
4671,"Wholesale of solid, liquid and gaseous fuels and related products"
4751,Retail sale of textiles in specialised stores
4782,"Retail sale via stalls and markets of textiles, clothing and footwear"
4775,Retail sale of cosmetic and toilet articles in specialised stores
4669,Wholesale of other machinery and equipment
4643,Wholesale of electrical household appliances
4644,Wholesale of china and glassware and cleaning materials
4645,Wholesale of perfume and cosmetics
4646,Wholesale of pharmaceutical goods
4647,"Wholesale of furniture, carpets and lighting equipment"
4648,Wholesale of watches and jewellery
4649,Wholesale of other household goods
2443,"Lead, zinc and tin production"
4651,"Wholesale of computers, computer peripheral equipment and software"
4652,Wholesale of electronic and telecommunications equipment and parts
2442,Aluminium production
4661,"Wholesale of agricultural machinery, equipment and supplies"
4662,Wholesale of machine tools
4663,"Wholesale of mining, construction and civil engineering machinery"
4664,Wholesale of machinery for the textile industry and of sewing and knitting machines
4665,Wholesale of office furniture
4666,Wholesale of other office machinery and equipment
2441,Precious metals production
2363,Manufacture of ready-mixed concrete
2431,Cold drawing of bars
4791,Retail sale via mail order houses or via Internet
4799,"Other retail sale not in stores, stalls or markets"
2399,Manufacture of other non-metallic mineral products n.e.c.
2391,Production of abrasive products
4910,"Passenger rail transport, interurban"
2370,"Cutting, shaping and finishing of stone"
4920,Freight rail transport
4931,Urban and suburban passenger land transport
4932,Taxi operation
4939,Other passenger land transport n.e.c.
2369,"Manufacture of other articles of concrete, plaster and cement"
4941,Freight transport by road
4942,Removal services
4950,Transport via pipeline
4781,"Retail sale via stalls and markets of food, beverages and tobacco products"
4730,Retail sale of automotive fuel in specialised stores
2410,Manufacture of basic iron and steel and of ferro-alloys
4778,Other retail sale of new goods in specialised stores
4752,"Retail sale of hardware, paints and glass in specialised stores"
4753,"Retail sale of carpets, rugs, wall and floor coverings in specialised stores"
4754,Retail sale of electrical household appliances in specialised stores
4759,"Retail sale of furniture, lighting equipment and other household articles in specialised stores"
2420,"Manufacture of tubes, pipes, hollow profiles and related fittings, of steel"
4761,Retail sale of books in specialised stores
4762,Retail sale of newspapers and stationery in specialised stores
4763,Retail sale of music and video recordings in specialised stores
4764,Retail sale of sporting equipment in specialised stores
4765,Retail sale of games and toys in specialised stores
4771,Retail sale of clothing in specialised stores
4779,Retail sale of second-hand goods in stores
4621,"Wholesale of grain, unmanufactured tobacco, seeds and animal feeds"
