firm_id,oil_purchases_2020_1,gas_purchases_2020_1,electricity_purchases_2020_1,oil_purchases_2020_2,gas_purchases_2020_2,electricity_purchases_2020_2,oil_purchases_2021_1,gas_purchases_2021_1,electricity_purchases_2021_1,oil_purchases_2021_2,gas_purchases_2021_2,electricity_purchases_2021_2,oil_purchases_2022_1,gas_purchases_2022_1,electricity_purchases_2022_1,oil_purchases_2022_2,gas_purchases_2022_2,electricity_purchases_2022_2,oil_purchases_2023_1,gas_purchases_2023_1,electricity_purchases_2023_1,oil_purchases_2023_2,gas_purchases_2023_2,electricity_purchases_2023_2,oil_purchases_2024_1,gas_purchases_2024_1,electricity_purchases_2024_1,oil_purchases_2024_2,gas_purchases_2024_2,electricity_purchases_2024_2,revenue_2020,revenue_2021,revenue_2022,revenue_2023,revenue_2024,employment_2020,employment_2021,employment_2022,employment_2023,employment_2024,ets_flag,nace2,nace4,parent_nace,fossil_purchases_2020,fossil_purchases_2021,fossil_purchases_2022,fossil_purchases_2023,fossil_purchases_2024
88,0,9387551,335958,0,296671,280599,8538515,322110,409100,0,280620,415873,0,212235,104746,0,197303,270096,6699127,477775,326956,7005899,110524,427782,0,254250,338256,0,8732736,401768,33063951787,32595544850,31578855414,32076392494,31100131399,453,462,452,471,464,0,3,396,A,9684222,9141245,409538,14293325,8986986
89,0,257596,327444,0,6473264,410438,8268630,340978,129004,0,429112,482485,0,297667,8672321,0,9228430,321786,0,9133603,269024,0,158051,7657549,0,149907,269505,8616147,122476,462336,42097121886,40304823264,41686345737,41284078161,41505181382,196,196,198,201,195,0,14,1469,C,6730860,9038720,9526097,9291654,8888530
90,0,8562762,220153,0,437663,417339,0,318054,325599,0,364556,269588,0,156818,8202821,0,209767,305021,0,6853283,148118,8903400,206417,443971,0,7607767,368647,0,124341,182828,97635269512,94574157452,98386859673,95071690283,98588638105,189,189,186,195,198,0,16,1617,C,9000425,682610,366585,15963100,7732108
91,0,120258,245613,0,129297,150608,0,149581,170415,7080927,349505,346635,6189471,266425,203514,0,306241,446844,0,390369,337591,0,284820,377327,0,332350,173540,6631894,401764,128066,68607999883,70906569990,74140747281,73092837819,72209514331,307,312,314,300,312,0,6,692,B,249555,7580013,6762137,675189,7366008
92,0,103684,353664,0,246806,489668,0,9360594,256065,8180430,311781,261029,0,433475,395109,6384096,236771,468096,0,416405,206062,7456588,445205,352438,0,6827979,106253,0,333078,8726446,73830776034,70599808014,70082733733,72966108977,73895088141,261,255,243,249,241,0,15,1543,C,350490,17852805,7054342,8318198,7161057
93,0,153724,7732986,0,235174,420248,8932118,252464,287181,7089250,254661,352139,0,190157,308299,0,298473,9064246,0,360564,457501,0,284692,389939,0,9442960,220506,0,498708,422214,91947727399,87473732025,84716009650,85915794594,84175931822,469,480,461,481,485,0,16,1654,C,388898,16528493,488630,645256,9941668
94,0,453169,328283,0,390325,159792,0,131886,481305,0,137540,9051774,7989775,266768,369532,0,109253,9578541,0,232777,130608,0,420202,7428920,8436789,101129,439419,0,210395,478212,15422917623,15865419072,15118093381,15538772189,15361889684,39,39,39,37,38,0,5,581,B,843494,269426,8365796,652979,8748313
95,0,217387,8620516,0,7935315,286062,7375927,234871,448241,0,102952,308949,0,8307518,241575,0,340924,9195793,0,142136,8254569,0,341743,461869,0,430353,460980,0,9472921,278729,95488174191,93479873831,95007872613,96496014721,97286556226,20,20,20,19,19,0,17,1765,C,8152702,7713750,8648442,483879,9903274
96,0,306805,430165,0,321893,7008354,0,284588,9088257,0,159208,470557,7383787,364829,226269,7398784,113770,373988,0,234812,245090,0,317098,277181,0,8160067,147675,6059441,254228,244070,17810540789,18120624149,18254829929,17589140764,16924838217,164,168,175,177,175,0,3,359,A,628698,443796,15261170,551910,14473736
97,0,226693,364978,0,7276247,461820,0,404524,122416,0,174065,256524,0,204307,359719,0,131451,6552589,0,6948609,432446,0,295631,173686,6616724,382825,288779,0,328392,8012000,21863385148,20817269344,21643326877,22061472001,21083728281,210,215,224,218,226,0,2,248,A,7502940,578589,335758,7244240,7327941
98,0,442195,299610,0,392816,307560,0,360891,311973,0,491102,192729,0,9638741,288134,0,218484,299527,6114383,305960,327352,0,454796,270579,0,205657,8458508,0,7069932,423244,28653378158,28867824380,29741110147,30735942421,29493811785,404,403,401,409,399,0,12,1247,C,835011,851993,9857225,6875139,7275589
99,0,247358,7876308,0,481485,6864687,0,146945,460926,0,9023172,340189,0,371896,8226937,8221965,240054,390680,0,7919254,354596,0,399246,396905,0,6636054,135235,0,384648,297200,66868544514,65522661672,67659383161,67709277417,70799920064,89,89,86,86,83,0,11,1173,C,728843,9170117,8833915,8318500,7020702
100,0,298428,347589,0,188497,380669,0,251757,485392,6023365,287919,402278,8039305,428220,145009,0,471637,341199,0,455321,9386902,0,485568,161812,7175422,179443,324936,0,146846,6566865,63321634889,60698460276,60827436485,60957702337,58060140999,458,470,491,485,481,0,35,3512,D,486925,6563041,8939162,940889,7501711
